headline,url
,https://english.elpais.com
"Former Trump adviser outlines strategy to end Ukraine war: Ceasefire, deterrence, and more European support",https://english.elpais.com
DeSantis proposes mandatory death penalty for undocumented immigrants convicted of capital crimes,https://english.elpais.com/usa/2025-02-14/desantis-proposes-mandatory-death-penalty-for-undocumented-immigrants-convicted-of-capital-crimes.html
Trump’s blacklist designates six Mexican cartels as terrorist organizations,https://english.elpais.com/usa/2025-02-14/beyond-the-drug-lords-of-sinaloa-and-jalisco-trumps-blacklist-designates-six-mexican-cartels-as-terrorist-organizations.html
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
Trump 2.0: A presidency aired live 24/7,https://english.elpais.com/usa/2025-02-13/trump-20-a-presidency-aired-live-247.html
"Nelson Ardila, kitchen assistant deported by Trump: ‘I had never felt so vulnerable as when they put me in handcuffs’",https://english.elpais.com/usa/2025-02-13/nelson-ardila-kitchen-assistant-deported-by-trump-i-had-never-felt-so-vulnerable-as-when-they-put-me-in-handcuffs.html
‘A legal black box’: Trump uses treatment reserved for terrorists on migrants sent to Guantánamo,https://english.elpais.com/international/2025-02-13/a-legal-black-box-trump-uses-treatment-reserved-for-terrorists-on-migrants-sent-to-guantanamo.html
,https://english.elpais.com
,https://english.elpais.com
"Mammals, birds, and reptiles evolved complex brains through different paths",https://english.elpais.com/science-tech/2025-02-13/mammals-birds-and-reptiles-evolved-complex-brains-through-different-paths.html
"The mysterious death of the ancient priestesses who wore 270,000 seashells",https://english.elpais.com/culture/2025-02-13/the-mysterious-death-of-the-ancient-priestesses-who-wore-270000-seashells.html
"YouTube turns 20: What happened to Jawed Karim, founder and author of the first video?",https://english.elpais.com/technology/2025-02-13/youtube-turns-20-what-happened-to-jawed-karim-founder-and-author-of-the-first-video.html
,https://english.elpais.com
,https://english.elpais.com
Timeline of a tech feud: Sam Altman and Elon Musk’s 10-year rivalry,https://english.elpais.com/technology/2025-02-12/timeline-of-a-tech-feud-sam-altman-and-elon-musks-10-year-rivalry.html
The global race to find out if asteroid 2024 YR4 will hit Earth,https://english.elpais.com/science-tech/2025-02-11/the-global-race-to-find-out-if-asteroid-2024-yr4-will-hit-earth.html
A life in the ICU: Little Fabio’s race against time as he awaited a transplant,https://english.elpais.com/science-tech/2025-02-11/a-life-in-the-icu-little-fabios-race-against-time-as-he-awaited-a-transplant.html
Trump announces tariffs on EU in retaliation to VAT,https://english.elpais.com/usa/2025-02-13/trump-announces-tariffs-on-eu-in-retaliation-to-vat.html
A coffee for $3.50: Argentina is the most expensive country in Latin America,https://english.elpais.com/economy-and-business/2025-02-11/a-coffee-for-350-argentina-is-the-most-expensive-country-in-latin-america.html
,https://english.elpais.com
,https://english.elpais.com
"Lily Allen, Duffy, Amy Winehouse and Florence Welch: The struggles of a seemingly cursed generation of singers ",https://english.elpais.com/culture/2025-02-10/lily-allen-duffy-amy-winehouse-and-florence-welch-the-struggles-of-a-seemingly-cursed-generation-of-singers.html
"Robert Peckham, historian: ‘Freedom is scary’",https://english.elpais.com/culture/2025-02-11/robert-peckham-historian-freedom-is-scary.html
,https://english.elpais.com
,https://english.elpais.com
Salman Rushdie: ‘My story is about beauty facing death’,https://english.elpais.com/culture/2025-02-04/salman-rushdie-my-story-is-about-beauty-facing-death.html
Art collides with science in Los Angeles,https://english.elpais.com/culture/2025-02-10/art-collides-with-science-in-los-angeles.html
,https://english.elpais.com
Does ‘liking’ everything mean you’re old? ,https://english.elpais.com/society/2025-02-09/does-liking-everything-mean-youre-old.html
"Traveling the world, a luxury that has surprisingly little to do with money",https://english.elpais.com/lifestyle/2025-02-09/traveling-the-world-a-luxury-that-has-surprisingly-little-to-do-with-money.html
,https://english.elpais.com
"Noah Centineo, the actor who went from the internet’s boyfriend to near-oblivion  ",https://english.elpais.com/people/2025-02-08/noah-centineo-the-actor-who-went-from-the-internets-boyfriend-to-near-oblivion.html
,https://english.elpais.com
"Andrew Garfield: ‘Suddenly your parents die, you have a crisis and your priorities change’",https://english.elpais.com/culture/2025-02-03/andrew-garfield-suddenly-your-parents-die-you-have-a-crisis-and-your-priorities-change.html
‘What I need the most are AK-47s’: How the United States floods Mexico with weapons  ,https://english.elpais.com/international/2025-02-12/what-i-need-the-most-are-ak-47s-how-the-united-states-floods-mexico-with-weapons.html
"Michael I. Jordan, artificial intelligence pioneer: ‘There’s a little too much hubris in the world of AI’",https://english.elpais.com/technology/2025-02-08/michael-i-jordan-artificial-intelligence-pioneer-theres-a-little-too-much-hubris-in-the-world-of-ai.html
,https://english.elpais.com
,https://english.elpais.com
Listen now LOS40 USA,https://los40.us/
Shakira’s Las Mujeres Ya No Lloran World Tour: Full Setlist Revealed,https://los40.us/2025/shakiras-las-mujeres-ya-no-lloran-world-tour-full-setlist-revealed-29704.html
Bernie Martínez: Bad Bunny’s Brother Who Follows in Kendall Jenner’s Footsteps,https://los40.us/2025/bernie-martinez-bad-bunnys-brother-who-follows-in-kendall-jenners-footsteps-29696.html
EL PAÍS offers free Spanish lessons with Gymglish,https://english.elpais.com
,https://english.elpais.com
"Migrants in Chicago after Trump raids: ‘We will continue working, but we are afraid’",https://english.elpais.com/usa/2025-02-03/migrants-in-chicago-after-trump-raids-we-will-continue-working-but-we-are-afraid.html
,https://english.elpais.com
,https://english.elpais.com
"The end of Mexico’s ‘hugs, not bullets’ paradigm: A visual history",https://english.elpais.com/international/2025-02-02/the-end-of-mexicos-hugs-not-bullets-paradigm-a-visual-history.html
Venezuela kicks off its most uncertain presidential campaign,https://english.elpais.com
,https://english.elpais.com
An economic paradox: When savings are both a good and a bad idea,https://english.elpais.com
"Jaime Maussan, a journalist from another planet: ‘Put me in a debate with any scientist, I’ll tear them to pieces’   ",https://english.elpais.com/culture/2025-02-02/jaime-maussan-a-journalist-from-another-planet-put-me-in-a-debate-with-any-scientist-ill-tear-them-to-pieces.html
Coldplay at 25: From alternative band to ‘manipulating emotions on a grand scale’ ,https://english.elpais.com/culture/2025-01-26/coldplay-at-25-from-alternative-band-to-manipulating-emotions-on-a-grand-scale.html
,https://english.elpais.com
"Ramón Bataller, hepatologist: ‘The combination of alcohol and cocaine is explosive and many young people are paying for it’",https://english.elpais.com/health/2025-02-08/ramon-bataller-hepatologist-the-combination-of-alcohol-and-cocaine-is-explosive-and-many-young-people-are-paying-for-it.html
The best Irish wine is made by a Spanish couple,https://english.elpais.com/lifestyle/2025-01-29/the-best-irish-wine-is-made-by-a-spanish-couple.html
My therapist is a bot: The rise of AI in mental health treatment,https://english.elpais.com/technology/2025-01-21/my-therapist-is-a-bot-the-rise-of-ai-in-mental-health-treatment.html
,https://english.elpais.com
"Climbing without a rope, between freedom and psychopathy",https://english.elpais.com/sports/2024-12-22/rwandas-sports-fever-a-pillar-of-development-or-sportswashing.html
